,School,School,School,School,School,School,location_home,location_home,location_home,location_home,location_home,location_home,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,Safe,Safe,Safe,Safe,Safe,Safe,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,Distance,Distance,Distance,Distance,Distance,Distance
Indexi,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5
0,Connecting Waters Charter - East Bay,Oxford Day Academy,Aurum Preparatory Academy,Latitude 37.8 High,Opportunity Academy,Legacy Academy,"(37.603623, -122.0253)","(37.465858, -122.13272)","(37.758631, -122.19604)","(37.777138, -122.23001)","(37.783496, -122.23538)","(37.338809, -121.87912)",37.603623,37.465858,37.758631,37.777138,37.783496,37.338809,-122.0253,-122.13272,-122.19604,-122.23001,-122.23538,-121.87912,0.9071579,0.9586507,0.94299734,0.91688186,0.80295205,0.90953594,Safe,Safe,Safe,Safe,Safe,Safe,106.0,48.0,91.0,52.0,23.0,13.0,0.0,11.183501242220112,14.207967783721571,16.403400310150662,16.924463049282654,19.95199097680949
1,Opportunity Academy,Latitude 37.8 High,Aurum Preparatory Academy,REALM Charter,KIPP Bayview Elementary,Invictus Academy of Richmond,"(37.783496, -122.23538)","(37.777138, -122.23001)","(37.758631, -122.19604)","(37.867407, -122.29489)","(37.734437, -122.38079)","(37.985734, -122.30765)",37.783496,37.777138,37.758631,37.867407,37.734437,37.985734,-122.23538,-122.23001,-122.19604,-122.29489,-122.38079,-122.30765,0.80295205,0.91688186,0.94299734,0.96599644,0.9480095,0.980271,Safe,Safe,Safe,Safe,Safe,Safe,23.0,52.0,91.0,383.0,70.0,78.0,0.0,0.5279047085506359,2.753036206909498,6.6400181797718645,8.650973861809272,14.496716845208255
2,Latitude 37.8 High,Opportunity Academy,Aurum Preparatory Academy,REALM Charter,KIPP Bayview Elementary,Invictus Academy of Richmond,"(37.777138, -122.23001)","(37.783496, -122.23538)","(37.758631, -122.19604)","(37.867407, -122.29489)","(37.734437, -122.38079)","(37.985734, -122.30765)",37.777138,37.783496,37.758631,37.867407,37.734437,37.985734,-122.23001,-122.23538,-122.19604,-122.29489,-122.38079,-122.30765,0.91688186,0.80295205,0.94299734,0.96599644,0.9480095,0.980271,Safe,Safe,Safe,Safe,Safe,Safe,52.0,23.0,91.0,383.0,70.0,78.0,0.0,0.5279047085506359,2.255653699592249,7.1664175983438625,8.765772239909348,14.99954253919716
3,Aurum Preparatory Academy,Latitude 37.8 High,Opportunity Academy,REALM Charter,KIPP Bayview Elementary,Connecting Waters Charter - East Bay,"(37.758631, -122.19604)","(37.777138, -122.23001)","(37.783496, -122.23538)","(37.867407, -122.29489)","(37.734437, -122.38079)","(37.603623, -122.0253)",37.758631,37.777138,37.783496,37.867407,37.734437,37.603623,-122.19604,-122.23001,-122.23538,-122.29489,-122.38079,-122.0253,0.94299734,0.91688186,0.80295205,0.96599644,0.9480095,0.9071579,Safe,Safe,Safe,Safe,Safe,Safe,91.0,52.0,23.0,383.0,70.0,106.0,0.0,2.255653699592249,2.753036206909498,9.248414384925738,10.25429096606588,14.207967783721571
4,REALM Charter,Opportunity Academy,Latitude 37.8 High,Invictus Academy of Richmond,Voices College-Bound Language Academy at West Contra Costa County,Aurum Preparatory Academy,"(37.867407, -122.29489)","(37.783496, -122.23538)","(37.777138, -122.23001)","(37.985734, -122.30765)","(37.997474, -122.30217)","(37.758631, -122.19604)",37.867407,37.783496,37.777138,37.985734,37.997474,37.758631,-122.29489,-122.23538,-122.23001,-122.30765,-122.30217,-122.19604,0.96599644,0.80295205,0.91688186,0.980271,0.9693067,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,383.0,23.0,52.0,78.0,133.0,91.0,0.0,6.6400181797718645,7.1664175983438625,8.190630597307551,8.979429987124755,9.248414384925738
5,Pivot Charter School North Valley II,Achieve Charter High,AeroSTEM Academy,Tree of Life International Charter,Arete Charter Academy,Stellar Charter,"(39.734808, -121.82143)","(39.761657, -121.81632)","(39.130282, -121.61047)","(40.466409, -122.33277)","(39.051179, -121.07043)","(40.530906, -122.37241)",39.734808,39.761657,39.130282,40.466409,39.051179,40.530906,-121.82143,-121.81632,-121.61047,-122.33277,-121.07043,-122.37241,0.9586507,0.7829722,0.9480095,0.9586507,0.70529926,0.8156694,Safe,Risky,Safe,Safe,Risky,Safe,122.0,48.0,62.0,87.0,11.0,226.0,0.0,1.872215597046603,43.20446869446585,57.287633472654946,61.96868173114745,62.196020414014455
6,Achieve Charter High,Pivot Charter School North Valley II,AeroSTEM Academy,Tree of Life International Charter,Stellar Charter,PACE Academy Charter,"(39.761657, -121.81632)","(39.734808, -121.82143)","(39.130282, -121.61047)","(40.466409, -122.33277)","(40.530906, -122.37241)","(40.561832, -122.3569)",39.761657,39.734808,39.130282,40.466409,40.530906,40.561832,-121.81632,-121.82143,-121.61047,-122.33277,-122.37241,-122.3569,0.7829722,0.9586507,0.9480095,0.9586507,0.8156694,0.9586507,Risky,Safe,Safe,Safe,Safe,Safe,48.0,122.0,62.0,87.0,226.0,83.0,0.0,1.872215597046603,44.926779933646955,55.79207427075972,60.69445192105081,62.183799504394806
7,Invictus Academy of Richmond,Voices College-Bound Language Academy at West Contra Costa County,REALM Charter,MIT Griffin Academy Middle,Opportunity Academy,Latitude 37.8 High,"(37.985734, -122.30765)","(37.997474, -122.30217)","(37.867407, -122.29489)","(38.14812, -122.24922)","(37.783496, -122.23538)","(37.777138, -122.23001)",37.985734,37.997474,37.867407,38.14812,37.783496,37.777138,-122.30765,-122.30217,-122.29489,-122.24922,-122.23538,-122.23001,0.980271,0.9693067,0.96599644,0.980271,0.80295205,0.91688186,Safe,Safe,Safe,Safe,Safe,Safe,78.0,133.0,383.0,136.0,23.0,52.0,0.0,0.8631883146421665,8.190630597307551,11.644235383572719,14.496716845208255,14.99954253919716
8,Rocketship Delta Prep,MIT Griffin Academy Middle,Voices College-Bound Language Academy at West Contra Costa County,Aurum Preparatory Academy,Invictus Academy of Richmond,Team Charter Academy,"(38.005791, -121.79727)","(38.14812, -122.24922)","(37.997474, -122.30217)","(37.758631, -122.19604)","(37.985734, -122.30765)","(37.953265, -121.28345)",38.005791,38.14812,37.997474,37.758631,37.985734,37.953265,-121.79727,-122.24922,-122.30217,-122.19604,-122.30765,-121.28345,0.980271,0.980271,0.9693067,0.94299734,0.980271,0.83642715,Safe,Safe,Safe,Safe,Safe,Safe,422.0,136.0,133.0,91.0,78.0,153.0,0.0,26.523504353544133,27.561030953384652,27.671956677166545,27.89067920241008,28.283253621011664
