,School,CDS_CODE,ncesId,Latitude,Longitude,public_schools_in_range_gs_weight,public_schools_in_range_ps_weight,public_schools_in_range_total,neighborhood_GS_score,neighborhood_PS_score
0,FAME Public Charter,01100170109835,069105110546,37.521436,-121.99391,160836,89598,23026.0,6.984973508208112,3.8911665074263877
1,Envision Academy for Arts & Technology,01100170112607,069105110947,37.804520,-122.26815,140679,99172,25378.0,5.543344629206399,3.907794152415478
2,Aspire California College Preparatory Academy,01100170118489,069105112283,37.868991,-122.27844,145983,88793,21140.0,6.905534531693472,4.200236518448439
3,Community School for Creative Education,01100170123968,069105112844,37.784648,-122.23863,156138,118280,29929.0,5.216946774031875,3.952019780146346
4,Yu Ming Charter,01100170124172,069105112901,37.847375,-122.28356,120915,80459,18867.0,6.408809031642551,4.264535962262151
5,Urban Montessori Charter,01100170125567,069105113008,37.778352,-122.18950,67763,85864,21341.0,3.1752495197038564,4.023429080174313
6,Oakland Unity Middle,01100170131581,069105113887,37.768221,-122.17616,41230,70019,17233.0,2.392502756339581,4.063076655254454
7,Connecting Waters Charter - East Bay,01100170136101,069105114091,37.603623,-122.02530,99302,59901,15204.0,6.531307550644567,3.9398184688239937
8,Opportunity Academy,01100170136226,069105114090,37.783496,-122.23538,139729,107349,27124.0,5.151489455832473,3.9577127267364696
9,Aurum Preparatory Academy,01100170137448,069105114335,37.758631,-122.19604,73231,81796,20782.0,3.5237705706861706,3.9359060725627946
10,Cox Academy,01100176001788,069105104257,37.746513,-122.16182,44705,63213,16523.0,2.7056224656539367,3.8257580342552804
11,Lazear Charter Academy,01100176002000,069105104288,37.776239,-122.23207,121323,100749,25261.0,4.802778987371838,3.9883219191639285
12,Nea Community Learning Center,01611190119222,060177012399,37.779051,-122.28703,69780,50400,12839.0,5.435002726069008,3.925539372225251
13,The Academy of Alameda,01611190122085,060177000042,37.776497,-122.28582,74082,52312,13317.0,5.5629646316738,3.928212059773222
14,Alameda Community Learning Center,01611190130609,060177008673,37.779051,-122.28703,69780,50400,12839.0,5.435002726069008,3.925539372225251
15,Alternatives in Action,01611190130625,060177008674,37.764464,-122.19540,83283,91971,23219.0,3.586846978767389,3.961023299883716
16,The Academy of Alameda Elementary,01611190131805,060177013871,37.776930,-122.28528,74082,52312,13317.0,5.5629646316738,3.928212059773222
17,REALM Charter Middle,01611430122689,060474012792,37.869147,-122.28807,128000,79404,18859.0,6.787210350495784,4.210403520865369
18,REALM Charter High,01611430122697,060474012715,37.867479,-122.29492,121837,73448,17605.0,6.920590741266685,4.171996591877307
19,REALM Charter,01611430138552,060474014246,37.867407,-122.29489,121837,73448,17605.0,6.920590741266685,4.171996591877307
20,Circle of Independent Learning,01611760130534,061440007479,37.537962,-121.99206,210251,112582,28557.0,7.362503064047344,3.9423608922505866
21,Leadership Public Schools - Hayward,01611920108670,061674010737,37.624193,-122.08790,75182,63244,17209.0,4.368760532279621,3.6750537509442736
22,Impact Academy of Arts & Technology,01611920113902,061674011849,37.631317,-122.10254,74617,63726,17583.0,4.243701302394358,3.6242961951885344
23,Golden Oak Montessori of Hayward,01611920119248,061674012426,37.687804,-122.06973,107803,81262,21460.0,5.023438956197577,3.786672879776328
24,Knowledge Enlightens You (KEY) Academy,01611920127696,061674013351,37.676940,-122.07213,122508,97561,26479.0,4.626609766229842,3.68446693606254
25,Silver Oak High Public Montessori Charter,01611920127944,061674013531,37.672093,-122.09803,132775,115064,30506.0,4.352422474267358,3.771848161017505
26,Impact Academy of Arts & Technology,01611920137646,061674011849,37.630890,-122.10291,72721,61830,16951.0,4.290071382219338,3.647572414606808
27,Livermore Valley Charter,01612000107839,062211010736,37.704857,-121.81841,68556,32065,8255.0,8.304784978800727,3.8843125378558447
28,Livermore Valley Charter Preparatory High,01612000120931,062211012554,37.706796,-121.81536,71900,36245,9091.0,7.908920910790892,3.986910130898691
29,Oakland Unity High,01612590100065,062805011351,37.773706,-122.18548,55290,76836,19084.0,2.8971913644938168,4.026199958080067
30,East Oakland Leadership Academy,01612590100123,062805011338,37.771840,-122.18986,61091,81408,20227.0,3.020269936223859,4.024719434419341
31,LPS College Park,01612590101469,062805010548,37.759536,-122.16291,38190,63657,15621.0,2.4447858651814864,4.075091223353178
32,Bay Area Technology,01612590106906,062805010720,37.766251,-122.15439,36465,57412,14372.0,2.5372251600333984,3.994711939883106
33,Aspire Millsmont Academy,01612590108803,062805010724,37.774289,-122.18234,46086,72354,17590.0,2.6200113700966456,4.11335986355884
34,Lighthouse Community Charter High,01612590108944,062805010726,37.737050,-122.19663,54984,66042,16360.0,3.360880195599022,4.03679706601467
35,Aspire Berkley Maynard Academy,01612590109819,062805010727,37.844798,-122.28416,104415,70953,16866.0,6.190857346140164,4.206865884027037
36,World Academy,01612590109983,062805010728,37.782892,-122.22696,140010,108489,27609.0,5.0711724437683365,3.9294795175486255
37,Achieve Academy,01612590111476,062805011561,37.782076,-122.22671,135537,106004,27112.0,4.999151667158454,3.909855414576571
38,Oakland Aviation High,01612590111823,062805011562,No Data,No Data,0,0,0.0,NA,NA
39,American Indian Public High,01612590111856,062805011563,37.811503,-122.24905,129433,103615,25777.0,5.021259262132909,4.019668696900338
40,American Indian Public Charter II,01612590114363,062805012013,37.800368,-122.26548,147387,106352,26948.0,5.4693112661422,3.946563752412053
41,Conservatory of Vocal/Instrumental Arts,01612590114454,062805012006,37.800277,-122.18642,72986,80723,20407.0,3.5765178615181066,3.955652472190915
42,Oakland Charter High,01612590114868,062805012041,37.785856,-122.21961,143326,112317,28602.0,5.01104817844906,3.9268932242500525
43,KIPP Bridge Academy,01612590115014,062805011935,37.810323,-122.27916,109605,81583,20667.0,5.303382203512847,3.947500846760536
44,ARISE High,01612590115238,062805012040,37.776162,-122.22506,118336,98221,24829.0,4.766039711627532,3.955898344677595
45,Civicorps Corpsmember Academy,01612590115386,062805012056,37.798779,-122.28556,83182,68451,17441.0,4.769336620606617,3.924717619402557
46,Learning Without Limits,01612590115592,062805012054,37.779349,-122.21325,122905,110973,28046.0,4.382264850602581,3.9568209370320186
47,East Oakland Leadership Academy High,01612590116137,062805012052,37.771809,-122.19019,61091,81408,20227.0,3.020269936223859,4.024719434419341
48,Aspire Golden State College Preparatory Academy,01612590118224,062805012331,37.759099,-122.19807,76297,83548,21220.0,3.5955230914231855,3.9372290292177192
49,Aspire ERES Academy,01612590120188,062805012542,37.775676,-122.21206,109242,98585,24949.0,4.3786123692332355,3.9514609804000163
50,Civicorps Middle,01612590120626,062805012497,37.847128,-122.28359,115435,77719,18319.0,6.301381079753262,4.242535072875157
51,Vincent Academy,01612590123711,062805012648,37.818122,-122.28219,82713,63369,15894.0,5.20403926009815,3.9869762174405436
52,100 Black Men of the Bay Area Community,01612590125856,062805013190,37.745418,-122.14067,38840,53679,13937.0,2.786826433235273,3.851546243811437
53,LPS Oakland R & D Campus,01612590126748,062805013155,37.759536,-122.16291,38190,63657,15621.0,2.4447858651814864,4.075091223353178
54,Aspire College Academy,01612590128413,062805013676,37.761272,-122.17090,40794,68028,16828.0,2.4241739957214166,4.042548134062277
